,BTCUSDT,ETHUSDT,BNBUSDT,LTCUSDT,NEOUSDT,XRPUSDT,ADAUSDT,BELUSDT,XLMUSDT,BATUSDT,LINKUSDT,BANDUSDT,ONTUSDT,IOTAUSDT
0,10788.06000000,359.35000000,29.03610000,46.28000000,19.46300000,0.24171000,0.10268000,1.45730000,0.07503000,0.24190000,9.91590000,6.53870000,0.63470000,0.28610000
1,10838.88000000,361.40000000,29.08480000,46.64000000,19.49400000,0.24256000,0.10286000,1.43780000,0.07506000,0.24320000,10.07770000,6.63200000,0.63610000,0.28760000
2,10817.14000000,362.61000000,29.20930000,46.48000000,19.69400000,0.24227000,0.10411000,1.38930000,0.07558000,0.24120000,10.02450000,6.59060000,0.63440000,0.28680000
3,10798.18000000,362.33000000,28.92900000,46.49000000,19.51700000,0.24190000,0.10288000,1.33450000,0.07463000,0.24090000,9.99170000,6.60820000,0.63270000,0.28480000
4,10800.01000000,362.31000000,28.86750000,46.46000000,19.50100000,0.24162000,0.10286000,1.37300000,0.07452000,0.24180000,10.01140000,6.61310000,0.63200000,0.28520000
5,10821.07000000,361.89000000,28.89710000,46.46000000,19.66500000,0.24186000,0.10323000,1.37300000,0.07487000,0.24380000,10.16720000,6.71910000,0.64110000,0.28680000
6,10821.29000000,362.75000000,28.94660000,46.58000000,20.13600000,0.24241000,0.10276000,1.35290000,0.07517000,0.24420000,10.23000000,6.84530000,0.64570000,0.28600000
7,10824.75000000,363.93000000,28.97290000,46.62000000,19.92500000,0.24206000,0.10361000,1.36770000,0.07555000,0.24440000,10.25430000,6.92080000,0.64530000,0.28590000
8,10872.35000000,367.12000000,29.09980000,47.60000000,20.20800000,0.24336000,0.10350000,1.36710000,0.07600000,0.24510000,10.20680000,6.86070000,0.64340000,0.28660000
9,10896.77000000,367.64000000,29.04380000,47.81000000,20.14400000,0.24387000,0.10326000,1.38680000,0.07599000,0.24550000,10.24590000,6.92000000,0.64580000,0.28570000
10,10865.97000000,366.67000000,28.89250000,47.71000000,19.99900000,0.24349000,0.10268000,1.36520000,0.07561000,0.24430000,10.21590000,6.89710000,0.64650000,0.28200000
11,10903.16000000,368.59000000,29.05980000,47.92000000,20.06500000,0.24424000,0.10267000,1.36900000,0.07589000,0.24510000,10.38250000,7.09000000,0.65060000,0.28310000
12,10885.96000000,367.74000000,28.90860000,47.90000000,19.98300000,0.24345000,0.10289000,1.38000000,0.07601000,0.24470000,10.31000000,6.96310000,0.64820000,0.28250000
13,10860.00000000,365.95000000,28.59240000,47.75000000,19.68500000,0.24246000,0.10164000,1.35080000,0.07563000,0.24190000,10.18550000,6.93510000,0.64440000,0.28130000
14,10857.98000000,365.76000000,28.40410000,48.34000000,19.72000000,0.24243000,0.10214000,1.43400000,0.07574000,0.24180000,10.17710000,6.88160000,0.64140000,0.27980000
15,10716.23000000,361.11000000,27.75200000,47.38000000,19.17500000,0.23934000,0.09914000,1.42130000,0.07460000,0.23600000,9.89500000,6.69320000,0.62830000,0.27600000
16,10522.72000000,350.11000000,26.61110000,45.79000000,18.40300000,0.23573000,0.09603000,1.32400000,0.07226000,0.22720000,9.52300000,6.35500000,0.61330000,0.26620000
17,10482.39000000,346.25000000,26.49620000,45.78000000,18.38000000,0.23469000,0.09638000,1.28390000,0.07194000,0.22520000,9.49770000,6.21580000,0.60700000,0.26970000
18,10586.50000000,352.15000000,27.12890000,46.57000000,18.66500000,0.23668000,0.09783000,1.30790000,0.07305000,0.22950000,9.67120000,6.41600000,0.61530000,0.27280000
19,10617.74000000,353.18000000,27.39060000,46.41000000,18.79200000,0.23754000,0.09820000,1.33090000,0.07391000,0.23000000,9.68610000,6.47270000,0.61930000,0.27260000
20,10606.03000000,351.63000000,27.02180000,46.21000000,18.62200000,0.23711000,0.09721000,1.30140000,0.07275000,0.22940000,9.64070000,6.40930000,0.61500000,0.27130000
21,10585.30000000,351.00000000,27.15740000,45.83000000,18.64600000,0.23700000,0.09695000,1.30410000,0.07277000,0.22810000,9.49370000,6.41180000,0.61230000,0.27110000
22,10607.11000000,351.82000000,27.32430000,46.05000000,18.71500000,0.23814000,0.09723000,1.31330000,0.07305000,0.22850000,9.60560000,6.42700000,0.61630000,0.27060000
23,10619.13000000,352.85000000,27.46730000,46.25000000,18.78600000,0.23819000,0.09804000,1.31030000,0.07314000,0.23030000,9.63940000,6.42260000,0.61850000,0.27200000
24,10592.27000000,351.06000000,27.28700000,46.08000000,18.61800000,0.23685000,0.09710000,1.29750000,0.07283000,0.22760000,9.53170000,6.33560000,0.61110000,0.27100000
25,10591.05000000,351.98000000,27.65600000,46.22000000,18.74800000,0.23735000,0.09821000,1.30090000,0.07315000,0.22910000,9.56220000,6.38030000,0.61200000,0.27380000
26,10604.29000000,351.53000000,27.72850000,46.22000000,18.86800000,0.23746000,0.09828000,1.32400000,0.07317000,0.22990000,9.57470000,6.44100000,0.61340000,0.27300000
27,10649.06000000,353.23000000,28.00180000,46.59000000,18.95600000,0.23864000,0.10015000,1.41620000,0.07333000,0.23110000,9.80530000,6.49980000,0.61290000,0.27540000
28,10590.02000000,351.45000000,27.47290000,46.50000000,18.76400000,0.23756000,0.09838000,1.37000000,0.07272000,0.22990000,9.63990000,6.43060000,0.60740000,0.27550000
29,10443.50000000,342.77000000,26.85000000,45.32000000,17.98200000,0.23251000,0.09488000,1.27750000,0.07092000,0.21930000,9.26540000,5.97470000,0.58300000,0.26140000
30,10501.48000000,344.06000000,27.26810000,45.53000000,18.21600000,0.23344000,0.09496000,1.31690000,0.07106000,0.22070000,9.35630000,5.97330000,0.59030000,0.26770000
31,10490.88000000,342.17000000,27.00760000,45.36000000,18.02600000,0.23348000,0.09479000,1.27460000,0.07084000,0.22010000,9.28720000,5.96730000,0.58740000,0.26410000
32,10455.46000000,338.51000000,26.56920000,44.96000000,17.75900000,0.23171000,0.09269000,1.24900000,0.06997000,0.21620000,9.07590000,5.86900000,0.58090000,0.25920000
33,10449.16000000,338.25000000,26.32110000,44.77000000,17.68400000,0.23102000,0.09172000,1.21350000,0.07018000,0.21620000,9.03920000,5.78840000,0.57740000,0.25800000
34,10461.14000000,338.12000000,26.07900000,44.39000000,17.59300000,0.23086000,0.09170000,1.20300000,0.07015000,0.21710000,8.93250000,5.77610000,0.57500000,0.25700000
35,10436.63000000,337.13000000,26.12000000,44.34000000,17.52100000,0.22972000,0.09048000,1.20330000,0.06957000,0.21850000,8.85020000,5.79990000,0.57240000,0.25780000
36,10489.27000000,339.64000000,26.49230000,44.66000000,18.13000000,0.23056000,0.09199000,1.22480000,0.07038000,0.21840000,9.01470000,5.92940000,0.58130000,0.26110000
37,10530.88000000,342.17000000,26.86970000,44.86000000,18.10400000,0.23206000,0.09229000,1.26970000,0.07080000,0.22010000,9.16570000,6.04160000,0.58680000,0.26330000
38,10522.13000000,344.50000000,26.90010000,44.83000000,18.13700000,0.23228000,0.09308000,1.26960000,0.07090000,0.22130000,9.24430000,6.12400000,0.58870000,0.26060000
39,10512.74000000,343.12000000,26.88930000,44.79000000,18.05800000,0.23165000,0.09245000,1.23620000,0.07061000,0.22110000,9.11710000,5.95890000,0.58400000,0.26000000
40,10543.69000000,344.78000000,27.39560000,45.11000000,18.26700000,0.23290000,0.09357000,1.27020000,0.07100000,0.22460000,9.24360000,6.11280000,0.59480000,0.26490000
41,10537.44000000,344.33000000,27.26490000,44.97000000,18.22200000,0.23245000,0.09352000,1.30700000,0.07099000,0.22390000,9.25530000,6.07800000,0.59600000,0.26510000
42,10553.11000000,344.56000000,27.21740000,44.91000000,18.31600000,0.23261000,0.09337000,1.30710000,0.07107000,0.22400000,9.23410000,6.02640000,0.59720000,0.26530000
43,10515.04000000,343.35000000,26.98160000,44.73000000,18.06800000,0.23186000,0.09277000,1.31550000,0.07057000,0.22230000,9.14330000,6.00560000,0.59170000,0.26400000
44,10540.71000000,346.58000000,27.28000000,44.96000000,18.19100000,0.23291000,0.09391000,1.37680000,0.07121000,0.22310000,9.27280000,6.02000000,0.59800000,0.26590000
45,10469.68000000,341.97000000,26.78580000,44.50000000,17.81800000,0.23134000,0.09208000,1.37860000,0.07009000,0.21890000,9.03500000,5.90990000,0.58750000,0.26260000
46,10551.02000000,344.89000000,27.08170000,44.86000000,18.07800000,0.23347000,0.09287000,1.49790000,0.07081000,0.22340000,9.19900000,6.03420000,0.59700000,0.26780000
47,10570.40000000,345.60000000,27.33690000,44.88000000,18.08900000,0.23386000,0.09286000,1.48800000,0.07096000,0.22390000,9.21670000,6.04710000,0.59820000,0.26880000
48,10544.92000000,344.01000000,27.11970000,44.90000000,18.01600000,0.23334000,0.09259000,1.36000000,0.07076000,0.22300000,9.17430000,5.98130000,0.59540000,0.26930000
49,10538.07000000,345.77000000,27.28360000,44.96000000,18.07600000,0.23347000,0.09329000,1.34180000,0.07104000,0.22380000,9.20570000,6.03490000,0.60000000,0.27010000
50,10540.34000000,345.76000000,27.35530000,44.92000000,18.06100000,0.23310000,0.09348000,1.41420000,0.07116000,0.22350000,9.21970000,6.06800000,0.59950000,0.27150000
